usr_id,mentions,type
1060338999611420672,16213404,MENTIONS
30646765,30646765,MENTIONS
373149557,63025854,MENTIONS
373149557,844579106,MENTIONS
85053059,1328864000730251264,MENTIONS
2148305090,2410517160,MENTIONS
24336528,16734909,MENTIONS
24336528,34116377,MENTIONS
50610631,16213404,MENTIONS
814568231495077892,16734909,MENTIONS
1654861243,1654861243,MENTIONS
164975989,1146707352,MENTIONS
1039673719080333313,16213404,MENTIONS
708615544421756929,176811097,MENTIONS
2507337876,721655916005724161,MENTIONS
48843089,17250722,MENTIONS
805322383217160192,14707794,MENTIONS
805322383217160192,16734909,MENTIONS
805322383217160192,132655296,MENTIONS
240951988,229823662,MENTIONS
413755830,16734909,MENTIONS
309621851,16213404,MENTIONS
309621851,16734909,MENTIONS
261097885,95091601,MENTIONS
307811039,16213404,MENTIONS
307811039,16734909,MENTIONS
457935001,16213404,MENTIONS
47946537,16734909,MENTIONS
20355179,16213404,MENTIONS
20355179,16734909,MENTIONS
20355179,16213404,MENTIONS
371646780,25036511,MENTIONS
371646780,43304756,MENTIONS
914553998614466560,16734909,MENTIONS
1206858936,1206858936,MENTIONS
349944567,16213404,MENTIONS
3404786713,16213404,MENTIONS
27572392,16734909,MENTIONS
27572392,68128023,MENTIONS
394529489,16213404,MENTIONS
1015176926665703425,2916395070,MENTIONS
309621851,16213404,MENTIONS
371646780,25036511,MENTIONS
3054088808,16213404,MENTIONS
25463487,2916395070,MENTIONS
1545272263,76842602,MENTIONS
1545272263,16734909,MENTIONS
3555381912,76842602,MENTIONS
3555381912,16734909,MENTIONS
2681647628,78907272,MENTIONS
1051449101483560960,16213404,MENTIONS
20122977,16213404,MENTIONS
20122977,16734909,MENTIONS
78851923,16213404,MENTIONS
114452953,16213404,MENTIONS
114452953,16734909,MENTIONS
2218476913,22573600,MENTIONS
3243893253,16213404,MENTIONS
1040425817136750592,16213404,MENTIONS
156794570,16213404,MENTIONS
156794570,16734909,MENTIONS
2653823557,25297301,MENTIONS
293782486,76842602,MENTIONS
293782486,16734909,MENTIONS
3305569202,16213404,MENTIONS
3305569202,16734909,MENTIONS
1020168871246888960,16213404,MENTIONS
34775569,16734909,MENTIONS
1108104595,746896441,MENTIONS
445880830,21242757,MENTIONS
536088881,721655916005724161,MENTIONS
932911346,95091601,MENTIONS
932911346,16734909,MENTIONS
932911346,16734909,MENTIONS
15912718,16734909,MENTIONS
373149557,844579106,MENTIONS
208051179,16213404,MENTIONS
371646780,1146707352,MENTIONS
53864354,22573600,MENTIONS
3356383392,1527339204,MENTIONS
81559648,16734909,MENTIONS
798994719938265092,16734909,MENTIONS
340242890,14707794,MENTIONS
340242890,16734909,MENTIONS
801741319496339456,63942152,MENTIONS
801741319496339456,16213404,MENTIONS
801741319496339456,16734909,MENTIONS
2281867076,16213404,MENTIONS
2281867076,16734909,MENTIONS
48843089,20838395,MENTIONS
4899639072,17250722,MENTIONS
562536268,16213404,MENTIONS
744457878661009408,16213404,MENTIONS
53510256,16734909,MENTIONS
53510256,38108726,MENTIONS
53510256,57857740,MENTIONS
53510256,21942470,MENTIONS
23714546,16213404,MENTIONS
727774679293923329,16734909,MENTIONS
727774679293923329,1216869159557947393,MENTIONS
727774679293923329,1665917820,MENTIONS
42177568,420135247,MENTIONS
373149557,772692799967723520,MENTIONS
220271183,16213404,MENTIONS
48843089,25978296,MENTIONS
1363461480,49975241,MENTIONS
108852664,25036511,MENTIONS
108852664,43304756,MENTIONS
287085540,25278550,MENTIONS
1376950904,16094885,MENTIONS
2148305090,1328864000730251264,MENTIONS
31069012,183770461,MENTIONS
221649615,2235731509,MENTIONS
221649615,16734909,MENTIONS
2579554963,42868418,MENTIONS
108852664,25036511,MENTIONS
269059493,16627712,MENTIONS
3102908108,42868418,MENTIONS
95399839,17250722,MENTIONS
214770574,25978296,MENTIONS
173639428,25978296,MENTIONS
38392608,78907272,MENTIONS
95091601,16734909,MENTIONS
243882040,27572392,MENTIONS
243882040,16734909,MENTIONS
243882040,68128023,MENTIONS
827691771735863296,34116377,MENTIONS
219089769,16734909,MENTIONS
3142098131,16213404,MENTIONS
3142098131,16734909,MENTIONS
1054759711,16213404,MENTIONS
1215388154,60779696,MENTIONS
60016017,20355179,MENTIONS
60016017,16213404,MENTIONS
60016017,16734909,MENTIONS
373149557,499435681,MENTIONS
237110655,76842602,MENTIONS
237110655,16734909,MENTIONS
814568231495077892,2601524623,MENTIONS
870142774582026246,14944735,MENTIONS
870142774582026246,95091601,MENTIONS
870142774582026246,16213404,MENTIONS
394529489,16213404,MENTIONS
2556710096,16213404,MENTIONS
2556710096,16734909,MENTIONS
221649615,17503820,MENTIONS
221649615,17456542,MENTIONS
221649615,2768501,MENTIONS
843035790,16734909,MENTIONS
1363461480,25036511,MENTIONS
2681948222,3555381912,MENTIONS
805322383217160192,14707794,MENTIONS
805322383217160192,297821885,MENTIONS
805322383217160192,16734909,MENTIONS
805322383217160192,132655296,MENTIONS
805322383217160192,16463397,MENTIONS
3812899180,1092378031,MENTIONS
202131330,16213404,MENTIONS
936010549615214592,420135247,MENTIONS
15715727,16734909,MENTIONS
480056249,898844695425503233,MENTIONS
17353325,500246788,MENTIONS
17353325,1486330544875003904,MENTIONS
17353325,16213404,MENTIONS
16303952,16734909,MENTIONS
3305569202,16213404,MENTIONS
3305569202,16734909,MENTIONS
487332963,16213404,MENTIONS
799802478833242112,16734909,MENTIONS
272761009,16213404,MENTIONS
337382401,16734909,MENTIONS
219089769,76842602,MENTIONS
219089769,16734909,MENTIONS
891638122018095104,16213404,MENTIONS
373149557,63025854,MENTIONS
373149557,2688731112,MENTIONS
305314354,95091601,MENTIONS
305314354,16734909,MENTIONS
3040447639,16213404,MENTIONS
22187462,2603192304,MENTIONS
22187462,16734909,MENTIONS
22187462,16213404,MENTIONS
313187605,34116377,MENTIONS
886742549209030656,16213404,MENTIONS
1654861243,1654861243,MENTIONS
284102172,16213404,MENTIONS
284102172,16734909,MENTIONS
24336528,16734909,MENTIONS
62794561,16734909,MENTIONS
62794561,34116377,MENTIONS
273939142,1242409188,MENTIONS
843249580351348737,361514032,MENTIONS
1487213216,29420301,MENTIONS
169840366,16213404,MENTIONS
169840366,16734909,MENTIONS
2301078271,4899639072,MENTIONS
26694521,16213404,MENTIONS
25463487,16627712,MENTIONS
813276,332788038,MENTIONS
2594593944,16213404,MENTIONS
4904265235,2916395070,MENTIONS
1031120657013071872,76842602,MENTIONS
1031120657013071872,16734909,MENTIONS
877795221538447360,16094885,MENTIONS
2195541126,25036511,MENTIONS
2195541126,43304756,MENTIONS
2681948222,95091601,MENTIONS
2681948222,16734909,MENTIONS
104758530,104758530,MENTIONS
483275549,16734909,MENTIONS
1055381716934713344,16213404,MENTIONS
275947438,16734909,MENTIONS
373149557,63942152,MENTIONS
373149557,246532728,MENTIONS
1651621050,22573600,MENTIONS
384789530,78851923,MENTIONS
384789530,16213404,MENTIONS
1974472332,519388948,MENTIONS
1974472332,16734909,MENTIONS
324901003,16213404,MENTIONS
324901003,16734909,MENTIONS
324901003,95766807,MENTIONS
815036728314511360,16213404,MENTIONS
312991399,487332963,MENTIONS
312991399,16213404,MENTIONS
164131639,414460605,MENTIONS
562536268,16213404,MENTIONS
224988372,16213404,MENTIONS
2580040976,2916395070,MENTIONS
833553929396826112,16213404,MENTIONS
2489255724,16213404,MENTIONS
258289977,16213404,MENTIONS
38392608,29420301,MENTIONS
2681647628,25036511,MENTIONS
2681647628,43304756,MENTIONS
932135957158961152,16213404,MENTIONS
373149557,63025854,MENTIONS
373149557,373149557,MENTIONS
1341381270,16094885,MENTIONS
20355179,16213404,MENTIONS
20355179,16734909,MENTIONS
20355179,16213404,MENTIONS
66917778,68128023,MENTIONS
509319460,2542290469,MENTIONS
34775569,16734909,MENTIONS
725862937,16213404,MENTIONS
44303836,1137661725040209921,MENTIONS
48843089,104758530,MENTIONS
1341381270,16094885,MENTIONS
1323473078,16734909,MENTIONS
