usr_id,mentions
1474752048,1031559982662209536
1474752048,2805529441
518096170,2827865725
175946965,43525891
2500563942,None
3163038860,16627712
22593725,43525891
103761767,1412036527
79062928,43525891
103761767,1412036527
72183405,732492601
72183405,16734909
72183405,2768501
3038808990,43525891
916119991,465936656
431102415,2916395070
237612784,16094885
404508332,2603192304
404508332,16734909
404508332,16213404
791122933754331136,2904009019
1146341346,160856325
1100056406,121403348
575295839,1607383921267810305
575295839,158899570
575295839,16734909
575295839,22993014
546765821,None
416057727,16094885
28690225,1007900407538962433
2199126007,399265360
2816984354,16094885
195635551,195635551
55113432,373149557
55113432,228857007
55113432,384233102
55113432,549862530
55113432,55113432
55113432,983508625
335105584,121639467
335105584,16734909
335105584,20559705
335105584,43304756
335105584,60483082
1113117066,15250661
28690225,159743606
28690225,147040968
176695560,None
2816984354,16627712
28690225,14205646
728510492273074176,16213404
983508625,43525891
28690225,300510416
103761767,1412036527
103761767,16734909
846935654583951364,None
842544334226386944,23700113
842544334226386944,165660881
158871917,None
542367047,310463188
542367047,1052246398685442048
983508625,16094885
38606846,None
28690225,1669796893
28690225,1591155984344485903
775465166,2904009019
2456550114,16509444
28690225,920095676
28690225,25036511
99367063,52320140
23289604,176811097
28690225,None
744442340,327246006
28690225,14980152
2479088160,66917778
3166153645,2837256067
28690225,None
1404087277,16509444
42769304,None
828518882,16094885
563699932,None
47353721,3555381912
460721800,16675569
495650403,16675569
28690225,1669796893
168295041,43525891
169804331,52320140
16834659,16734909
2516705267,None
1368100356,None
117602839,11781162
117602839,16734909
2536846554,1333360170
2536846554,16734909
3368822652,3555381912
518124725,16734909
3087496429,16213404
79062928,164178673
795050637775937536,125486974
