usr_id,hashtags,type
2199126007,qanda,HASHTAGS
2199126007,liberalparty,HASHTAGS
937603103246893056,qanda,HASHTAGS
533022197,qanda,HASHTAGS
1007900407538962433,auspol,HASHTAGS
1007900407538962433,qanda,HASHTAGS
2199126007,marriageequality,HASHTAGS
1078264621,daylightsaving,HASHTAGS
70617159,auspol,HASHTAGS
66385183,akinmeansbusiness,HASHTAGS
66385183,thursdaythoughts,HASHTAGS
66385183,mtnfusion,HASHTAGS
66385183,thursdaymotivation,HASHTAGS
66385183,africainvestmentforum,HASHTAGS
417047832,lnp,HASHTAGS
417047832,auspol,HASHTAGS
417047832,climatechange,HASHTAGS
864576671021764609,qanda,HASHTAGS
21530998,qanda,HASHTAGS
21530998,styx,HASHTAGS
21530998,luxprize,HASHTAGS
21530998,wolfgangfischer,HASHTAGS
2799319651,auspol,HASHTAGS
2855400744,qanda,HASHTAGS
369158562,fuckoffmalcolm,HASHTAGS
716749184821399553,nbn,HASHTAGS
16675569,auspol,HASHTAGS
3023101710,qanda,HASHTAGS
3023101710,matteroffact,HASHTAGS
2569854282,auspol,HASHTAGS
16463397,auspol,HASHTAGS
16463397,analysis,HASHTAGS
232859057,football,HASHTAGS
232859057,qanda,HASHTAGS
716749184821399553,qanda,HASHTAGS
99367063,fizza,HASHTAGS
1041881043878281217,ulurustatement,HASHTAGS
557344637,qanda,HASHTAGS
557344637,lockhimup,HASHTAGS
557344637,sackabc,HASHTAGS
916119991,mrkrudd,HASHTAGS
916119991,turnbull,HASHTAGS
916119991,un,HASHTAGS
4687097786,qanda,HASHTAGS
2199126007,qanda,HASHTAGS
404508332,qanda,HASHTAGS
404508332,matteroffact,HASHTAGS
576825236,qanda,HASHTAGS
795050637775937536,auspol,HASHTAGS
795050637775937536,qanda,HASHTAGS
2335161692,qanda,HASHTAGS
103761767,qanda,HASHTAGS
103761767,factcheck,HASHTAGS
335105584,auspol,HASHTAGS
68640609,auspol,HASHTAGS
255753616,auspol,HASHTAGS
779814741736730624,auspol,HASHTAGS
779814741736730624,qanda,HASHTAGS
788532504626012160,qanda,HASHTAGS
788532504626012160,auspol,HASHTAGS
252420272,qanda,HASHTAGS
405997483,qanda,HASHTAGS
16094885,auspol,HASHTAGS
2816984354,qanda,HASHTAGS
1474752048,evelynmovie,HASHTAGS
518096170,qanda,HASHTAGS
518096170,matteroffact,HASHTAGS
103761767,qanda,HASHTAGS
103761767,factcheck,HASHTAGS
103761767,qanda,HASHTAGS
103761767,factcheck,HASHTAGS
72183405,nbn,HASHTAGS
3038808990,qanda,HASHTAGS
916119991,turnbull,HASHTAGS
916119991,lnp,HASHTAGS
1146341346,pjk,HASHTAGS
1100056406,qanda,HASHTAGS
1100056406,nbn,HASHTAGS
2816984354,qanda,HASHTAGS
195635551,usmidterms,HASHTAGS
195635551,usmidterm,HASHTAGS
195635551,uspoli,HASHTAGS
28690225,qanda,HASHTAGS
28690225,qanda,HASHTAGS
28690225,auspol,HASHTAGS
28690225,libspill,HASHTAGS
28690225,qanda,HASHTAGS
728510492273074176,theirabclpbtqiambpvobcfkeajbpktj,HASHTAGS
103761767,qanda,HASHTAGS
103761767,factcheck,HASHTAGS
842544334226386944,auspol,HASHTAGS
158871917,qanda,HASHTAGS
542367047,rowdyones,HASHTAGS
28690225,qanda,HASHTAGS
744442340,qanda,HASHTAGS
28690225,qanda,HASHTAGS
42769304,auspol,HASHTAGS
563699932,renewableenergy,HASHTAGS
563699932,desalination,HASHTAGS
563699932,auspol,HASHTAGS
563699932,qldpol,HASHTAGS
563699932,insiders,HASHTAGS
563699932,4corners,HASHTAGS
563699932,qanda,HASHTAGS
563699932,abc730,HASHTAGS
563699932,thedrum,HASHTAGS
563699932,matteroffactabc,HASHTAGS
563699932,nationalwrap,HASHTAGS
563699932,murraydarling,HASHTAGS
460721800,auspol,HASHTAGS
495650403,auspol,HASHTAGS
168295041,qanda,HASHTAGS
2516705267,destructionbydemonetisation,HASHTAGS
2516705267,demonetisationdisaster,HASHTAGS
2516705267,bjpkivotebandi,HASHTAGS
2516705267,demonetisation,HASHTAGS
2516705267,peoplesfavsarkar,HASHTAGS
2516705267,sarkardeathceremony,HASHTAGS
2516705267,bhaidooj,HASHTAGS
2516705267,kgftrailer,HASHTAGS
2516705267,batevcfc,HASHTAGS
2516705267,massshooting,HASHTAGS
2516705267,lavieenrose1stwin,HASHTAGS
2516705267,qanda,HASHTAGS
1368100356,auspol,HASHTAGS
1368100356,qanda,HASHTAGS
1368100356,midterms,HASHTAGS
518124725,qanda,HASHTAGS
1113341312,qanda,HASHTAGS
1113341312,insiders,HASHTAGS
1113341312,insidersreading,HASHTAGS
1113341312,auspol,HASHTAGS
529694616,首都大qanda,HASHTAGS
308359254,qanda,HASHTAGS
29318136,qanda,HASHTAGS
28690225,qanda,HASHTAGS
117602839,climate,HASHTAGS
999227088681881602,ulurustatement,HASHTAGS
1368100356,auspol,HASHTAGS
1368100356,qanda,HASHTAGS
49955723,auspol,HASHTAGS
49955723,qanda,HASHTAGS
773706154501345280,auspol,HASHTAGS
729104859991957505,qanda,HASHTAGS
729104859991957505,liberalparty,HASHTAGS
241662602,scumo,HASHTAGS
241662602,abbott,HASHTAGS
23907461,auspol,HASHTAGS
23907461,qanda,HASHTAGS
262409107,qanda,HASHTAGS
