usr_id,hashtags
1048700735242870785,longman
2884776675,qanda
747005330,None
300510416,qanda
968373628604575744,apology
3583964352,None
2475027319,None
65633173,None
716749184821399553,None
1650174055,None
2213249280,None
818396629640232960,None
716749184821399553,None
338633208,None
308359254,None
2475027319,None
971712014589440001,None
2175547129,None
727695742769336320,None
716749184821399553,None
897114507952005120,auspol
897114507952005120,qanda
716749184821399553,None
460721800,qanda
21075591,auspol
369158562,None
546765821,None
4562829133,None
818396629640232960,None
751327970787110913,scomo
751327970787110913,primemuppet
751327970787110913,coalition
751327970787110913,auspol
751327970787110913,skynews
288194864,marriageequality
1514621460,None
918274536,None
14205646,qanda
4755321,auspol
2479310834,scomo
2479310834,primemuppet
2479310834,coalition
2479310834,auspol
2479310834,skynews
147040968,qanda
147040968,auspol
147040968,libspill
43413743,None
1041881043878281217,None
22993014,9news
22993014,auspol
79062928,None
818396629640232960,None
62273565,None
715626890,qanda
715626890,auspol
2213249280,None
480785251,None
99367063,qanda
17668544,None
404508332,None
842544334226386944,auspol
20568173,None
480785251,None
1355592691,None
818396629640232960,None
2203771945,None
1220125394,None
810432772238151680,None
2816984354,None
4755321,None
3688042154,None
404267586,None
2799319651,None
2799319651,None
159743606,qanda
1058740290578718720,None
43413743,qanda
818396629640232960,None
295590659,None
1048700735242870785,None
720130266,None
79062928,auspol
79062928,qanda
51898019,None
85794999,qanda
85794999,styx
85794999,luxprize
85794999,wolfgangfischer
3254580492,None
535785392,None
2855400744,None
728510492273074176,None
4687097786,turnbull
4687097786,q
2799319651,None
2479310834,None
2464727282,auspol
2464727282,renewables
2464727282,renewableenergy
237168864,None
636089903,None
2799319651,None
818396629640232960,None
1355592691,qanda
899395604,None
37622069,None
60448583,ulurustatement
1004937097751375872,None
2411313362,qanda
535785392,None
2199126007,qanda
2199126007,liberalparty
937603103246893056,qanda
252420272,None
533022197,qanda
1007900407538962433,auspol
1007900407538962433,qanda
165655235,None
2199126007,marriageequality
707099809,None
788532504626012160,None
781019903574806529,None
2777532764,None
1078264621,daylightsaving
843396383247818752,None
818396629640232960,None
3272897923,None
79062928,None
2816984354,None
2816984354,None
1601937732,None
1859495642,None
1336492724,None
3688042154,None
501208726,None
2569854282,None
554148367,None
70617159,auspol
66385183,akinmeansbusiness
66385183,thursdaythoughts
66385183,mtnfusion
66385183,thursdaymotivation
66385183,africainvestmentforum
1371167210,None
79062928,None
3004590187,None
417047832,lnp
417047832,auspol
417047832,climatechange
864576671021764609,qanda
4687097786,None
369158562,None
21530998,qanda
21530998,styx
21530998,luxprize
21530998,wolfgangfischer
1355592691,None
2569854282,None
2816984354,None
4687097786,None
2799319651,auspol
2816984354,None
2855400744,qanda
575295839,None
369158562,fuckoffmalcolm
404508332,None
716749184821399553,nbn
16675569,auspol
252420272,None
54011034,None
3023101710,qanda
3023101710,matteroffact
762440263,None
846935654583951364,None
2569854282,auspol
16463397,auspol
16463397,analysis
232859057,football
232859057,qanda
716749184821399553,qanda
716749184821399553,None
405997483,None
431102415,None
99367063,fizza
1041881043878281217,ulurustatement
232710107,None
1000476366045839361,None
2777532764,None
557344637,qanda
557344637,lockhimup
557344637,sackabc
22724690,None
405997483,None
916119991,mrkrudd
916119991,turnbull
916119991,un
405997483,None
2855400744,None
243882040,None
918274536,None
1092378031,None
4687097786,qanda
21072785,None
2199126007,qanda
707099809,None
404508332,None
2799319651,None
778896979,None
404508332,qanda
404508332,matteroffact
576825236,qanda
233343317,None
337351696,None
795050637775937536,auspol
795050637775937536,qanda
60448583,None
2335161692,qanda
405997483,None
311975036,None
4875432925,None
2441617381,None
487290513,None
970089708851159042,None
2569854282,None
103761767,qanda
103761767,factcheck
404508332,None
26464396,None
335105584,auspol
